Food code,Main food description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
32103020,"Egg salad, made with mayonnaise-type salad dressing",2502,Eggs and omelets,2,1 large egg,74.0
32103020,"Egg salad, made with mayonnaise-type salad dressing",2502,Eggs and omelets,3,1 extra large egg,82.0
32103020,"Egg salad, made with mayonnaise-type salad dressing",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
32103020,"Egg salad, made with mayonnaise-type salad dressing",2502,Eggs and omelets,5,1 cup,222.0
32103025,"Egg salad, made with light mayonnaise-type salad dressing",2502,Eggs and omelets,1,1 medium egg,68.0
32103025,"Egg salad, made with light mayonnaise-type salad dressing",2502,Eggs and omelets,2,1 large egg,74.0
32103025,"Egg salad, made with light mayonnaise-type salad dressing",2502,Eggs and omelets,3,1 extra large egg,82.0
32103025,"Egg salad, made with light mayonnaise-type salad dressing",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
32103025,"Egg salad, made with light mayonnaise-type salad dressing",2502,Eggs and omelets,5,1 cup,222.0
32103030,"Egg salad, made with creamy dressing",2502,Eggs and omelets,1,1 medium egg,68.0
32103030,"Egg salad, made with creamy dressing",2502,Eggs and omelets,2,1 large egg,74.0
32103030,"Egg salad, made with creamy dressing",2502,Eggs and omelets,3,1 extra large egg,82.0
32103030,"Egg salad, made with creamy dressing",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
32103030,"Egg salad, made with creamy dressing",2502,Eggs and omelets,5,1 cup,222.0
32103035,"Egg salad, made with light creamy dressing",2502,Eggs and omelets,1,1 medium egg,68.0
32103035,"Egg salad, made with light creamy dressing",2502,Eggs and omelets,2,1 large egg,74.0
32103035,"Egg salad, made with light creamy dressing",2502,Eggs and omelets,3,1 extra large egg,82.0
32103035,"Egg salad, made with light creamy dressing",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
32103035,"Egg salad, made with light creamy dressing",2502,Eggs and omelets,5,1 cup,222.0
32103040,"Egg salad, made with Italian dressing",2502,Eggs and omelets,1,1 medium egg,68.0
32103040,"Egg salad, made with Italian dressing",2502,Eggs and omelets,2,1 large egg,74.0
32103040,"Egg salad, made with Italian dressing",2502,Eggs and omelets,3,1 extra large egg,82.0
32103040,"Egg salad, made with Italian dressing",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
32103040,"Egg salad, made with Italian dressing",2502,Eggs and omelets,5,1 cup,222.0
32103045,"Egg salad, made with light Italian dressing",2502,Eggs and omelets,1,1 medium egg,68.0
32103045,"Egg salad, made with light Italian dressing",2502,Eggs and omelets,2,1 large egg,74.0
32103045,"Egg salad, made with light Italian dressing",2502,Eggs and omelets,3,1 extra large egg,82.0
32103045,"Egg salad, made with light Italian dressing",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
32103045,"Egg salad, made with light Italian dressing",2502,Eggs and omelets,5,1 cup,222.0
32103050,"Egg Salad, made with any type of fat free dressing",2502,Eggs and omelets,1,1 medium egg,68.0
32103050,"Egg Salad, made with any type of fat free dressing",2502,Eggs and omelets,2,1 large egg,74.0
32103050,"Egg Salad, made with any type of fat free dressing",2502,Eggs and omelets,3,1 extra large egg,82.0
32103050,"Egg Salad, made with any type of fat free dressing",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
